0,disease_name,description,treatments,causes,severity,specialist,frequency,contagiousness
89,Cirrhosis,Cirrhosis is scarring (fibrosis) of the liver caused by long-term liver damage. The scar tissue prevents the liver working properly.,"There's no cure for cirrhosis at the moment. However there are ways to manage the symptoms and any complications and slow its progression.
Treating the problem that led to cirrhosis (for example using anti-viral medicines to treat hepatitis C) can stop cirrhosis getting worse.
You may be advised to cut down or stop drinking alcohol or to lose weight if you're overweight. 
A GP can help you get support if you need help to stop drinking or to lose weight.
If your liver is severely damaged a liver transplant may be the only treatment option.
","In the UK the most common causes of cirrhosis are:
drinking too much alcohol over many years
being infected with hepatitis for a long time particularly hepatitis B or hepatitis C
a severe form of non-alcoholic fatty liver disease (NAFLD) called non-alcoholic steatohepatitis where the liver becomes inflamed from a build-up of excess fat
Cirrhosis can also be caused by a problem affecting your bile ducts (such as primary biliary cholangitis) or immune system (such as autoimmune hepatitis) some inherited conditions and the long-term use of certain medicines.
Alcohol-related liver disease
Drinking too much alcohol damages the liver. Over time this can lead to alcohol-related liver disease.
Cirrhosis is the final stage of alcohol-related liver disease. It usually happens after many years of heavy drinking.",Severe,Hepatologist or Gastroenterologist,Common,No
90,Claustrophobia,Claustrophobia is the irrational fear of confined spaces.,"talking treatments including cognitive behavioural therapy (CBT) and exposure therapy
self-help - find out more about phobias and self-care on the Mind website
medicines such as antidepressants or tranquilisers
","Claustrophobia is often caused by a traumatic event experienced during early childhood.
For example adults may develop claustrophobia if as a child they:
were trapped or kept in a confined space
were bullied or abused
had a parent with claustrophobia
Claustrophobia can also be triggered by unpleasant experiences or situations such as turbulence when flying or being stuck in a tube tunnel between stations.
A child growing up with a parent who has claustrophobia may develop claustrophobia themselves by associating confined spaces with their parent's anxiety and feeling helpless to comfort the person they loved.",Mild,Psychiatrist or Psychologist,Common,No
91,Clostridium difficile (C. diff) infection,Clostridium difficile (C. diff) is a type of bacteria that can cause diarrhoea. It often affects people who have been taking antibiotics. It can usually be treated with a different type of antibiotic.,"stopping any antibiotics you're taking if possible
taking a 10-day course of another antibiotic that can treat the C. diff infection
","C. diff bacteria usually live harmlessly in your bowel along with lots of other types of bacteria.
But sometimes when you take antibiotics the balance of bacteria in your bowel can change causing an infection.
When someone has a C. diff infection it can spread to other people very easily if the bacteria found in the personâ€™s poo get onto objects and surfaces.
Who's at risk
You're more likely to get a C. diff infection if:
you're over 65 years
you're taking or have recently taken antibiotics
you're staying in hospital or a care home for a long time
you have a weakened immune system â€“ for example from having a long-term condition like diabetes or kidney failure or treatment like chemotherapy
you're taking a proton pump inhibitor (PPI) such as omeprazole or other medicines that reduce stomach acid
you've had a C. diff infection in the past",Severe,Infectious Disease Specialist,Common,Yes
92,Cluster headaches,Cluster headaches are severe attacks of pain that can last for long periods. You may get them for years but they're not usually serious and there are treatments that can help.,"medicines called triptans given as an injection or a nasal spray
oxygen which is breathed through a mask
using a device to give mild electrical pulses to the back of the neck
","Itâ€™s not known what causes cluster headaches.
Theyâ€™re more common in men in their 30s and 40s or if you have a close family member who gets them.
Some people find certain triggers can cause cluster headaches such as:
smoking
drinking alcohol
perfume
the smell of paint nail varnish or petrol
exercise
Keeping a headache diary may help you to understand your triggers.",Severe,Neurologist or Pain Management Specialist,Rare,No
93,Coeliac disease,Coeliac disease is a condition where your immune system attacks your own tissues when you eat gluten. This damages your gut (small intestine) so your body cannot properly take in nutrients.,"There's no cure for coeliac disease but following a gluten-free diet should help control symptoms and prevent the long-term complications of the condition.
Even if you have mild symptoms changing your diet is still recommended because continuing to eat gluten can lead to serious complications. This may also be the case if tests show that you have some degree of coeliac disease even if you do not have noticeable symptoms.
It's important to ensure that your gluten-free diet is healthy and balanced.
An increase in the range of available gluten-free foods in recent years has made it possible to eat both a healthy and varied gluten-free diet.
","Coeliac disease is an autoimmune condition. This is where the immune system (the body's defence against infection) mistakenly attacks healthy tissue.
In coeliac disease the immune system mistakes substances found inside gluten as a threat to the body and attacks them.
This damages the surface of the small bowel (intestines) disrupting the body's ability to take in nutrients from food.
It's not entirely clear what causes the immune system to act this way but a combination of genetics and the environment appear to play a part.",Moderate,Gastroenterologist or Dietitian,Common,No
94,Common cold,You can often treat a cold without seeing a GP. You should begin to feel better in about 1 to 2 weeks.,"rest and sleep
drink plenty of water (fruit juice or squash mixed with water is OK) to avoid dehydration
gargle salt water to soothe a sore throat (not suitable for children)
ease aches or lower a temperature with painkillers like paracetamol or ibuprofen
relieve a blocked nose with decongestant sprays or tablets
","Colds are caused by viruses and easily spread to other people. You're infectious until all your symptoms have gone. This usually takes 1 to 2 weeks.
Colds are spread by germs from coughs and sneezes which can live on hands and surfaces for 24 hours.
To reduce the risk of spreading a cold:
wash your hands often with warm water and soap
use tissues to trap germs when you cough or sneeze
bin used tissues as quickly as possible",Mild,General Practitioner,Common,Yes
95,Compartment syndrome,Compartment syndrome is an increase in pressure inside a muscle which restricts blood flow and causes pain. If it happens suddenly it can be serious and need treatment as soon as possible.,"avoid the activity that caused them â€“ if you run switching to a low-impact exercise such as cycling may help
use anti-inflammatory painkillers to reduce the pain and discomfort
have physiotherapy
use inserts (orthotics) in your shoes if you start running again
",,Severe,Orthopedic Surgeon,Rare,No
96,Congenital heart disease,Congenital heart disease is a general term for a range of birth defects that affect the normal way the heart works.,"Treatment for congenital heart disease usually depends on the defect you or your child has.
Mild defects such as holes in the heart often don't need to be treated as they may improve on their own and may not cause any further problems.
Surgery or interventional procedures are usually required if the defect is significant and causing problems. Modern surgical techniques can often restore most or all of the heart's normal function.
However people with congenital heart disease often need treatment throughout their life and therefore require specialist review during childhood and adulthood. This is because people with complex heart problems can develop further problems with their heart rhythm or valves over time.
Most surgery and interventional procedures aren't considered to be a cure. The affected person's ability to exercise may be limited and they may need to take extra steps to protect themselves from getting infections.
It's important that a person with heart disease and their parents or carers discuss these issues with their specialist medical team.
Read more about treating congenital heart disease and the complications of congenital heart disease.
","In most cases no obvious cause of congenital heart disease is identified. However some things are known to increase the risk of the condition including:
Down's syndrome â€“ a genetic disorder that affects a baby's normal physical development and causes learning difficulties
the mother having certain infections such as rubella during pregnancy
the mother taking certain types of medicine during pregnancy including statins and some acne medicines
the mother smoking or drinking alcohol during pregnancy
the mother having poorly controlled type 1 diabetes or type 2 diabetes
other chromosome defects where genes may be altered from normal and can be inherited (run in the family)
Read more about the causes of congenital heart disease and preventing congenital heart disease.
Many cases of congenital heart disease are diagnosed before a baby is born during an ultrasound scan in pregnancy. However it's not always possible to detect congenital heart defects in this way.",Severe,Cardiologist,Rare,No
97,Conjunctivitis,Conjunctivitis is an eye condition caused by infection or allergies. It usually gets better in a couple of weeks without treatment.,"Treatment will depend on the cause of your conjunctivitis.
If it's a bacterial infection you might be prescribed antibiotics. But these will not work if it's caused by a virus (viral conjunctivitis) or an allergy.
Some sexually transmitted infections (STIs) can cause conjunctivitis. This type takes longer to get better.
","There are things you can do to stop conjunctivitis spreading to other people.
Do
wash your hands regularly with warm soapy water
wash your pillow cases and face cloths in hot water and detergent
cover your mouth and nose when sneezing and put used tissues in the bin
Donâ€™t
do not share towels and pillows
do not rub your eyes
Staying away from work or school
You do not need to stay away from work or school unless you or your child are feeling very unwell.",Mild,Ophthalmologist or Pediatrician,Common,Yes
98,Constipation,Constipation is where you have changes to how you poo including not pooing as often or finding it hard to poo. It's common and it affects people of all ages. You can usually treat it with simple changes to your diet and lifestyle.,"eat a healthy balanced diet and include fruits that contain sorbitol such as apples apricots grapes (and raisins) raspberries and strawberries
drink plenty of water and other fluids and avoid alcohol
gradually increase the fibre in your diet
add some wheat bran oats or linseed to your diet
","Constipation in adults has many possible causes. Sometimes there's no obvious reason.
The most common causes include:
not eating enough fibre which is found in fruits vegetables and cereals
not drinking enough fluids
not moving enough and spending long periods sitting or lying down
being less active and not exercising
often ignoring the urge to go to the toilet
changing your diet or daily routine
a side effect of medicine
stress anxiety or depression
Constipation is common during pregnancy and after giving birth. It is also more common if you are black or if you are over 65 years old.
Constipation can also be caused by a medical condition such as diverticular disease or bowel cancer but this is rare.",Mild,Gastroenterologist or General Practitioner,Common,No
99,Coronary heart disease,Coronary heart disease (CHD) is a major cause of death in the UK and worldwide. CHD is sometimes called ischaemic heart disease or coronary artery disease.,"lifestyle changes such as regular exercise and stopping smoking
medicines
angioplasty â€“ where balloons and stents are used to treat narrow heart arteries
surgery
","Coronary heart disease is the term that describes what happens when your heart's blood supply is blocked or interrupted by a build-up of fatty substances in the coronary arteries.
Over time the walls of your arteries can become furred up with fatty deposits. This process is known as atherosclerosis and the fatty deposits are called atheroma.
Atherosclerosis can be caused by lifestyle factors such as smoking and regularly drinking excessive amounts of alcohol.
You're also more at risk of getting atherosclerosis if you have conditions like high cholesterol high blood pressure (hypertension) or diabetes.",Severe,Cardiologist,Common,No
100,Corticobasal degeneration,Corticobasal degeneration (CBD) is a rare condition that can cause gradually worsening problems with movement speech memory and swallowing.,"medication â€“ to improve stiffness and muscle spasms sleep and mood pain or memory
physiotherapy â€“ to help with movement and balance difficulties
speech and language therapy â€“ to help with communication and swallowing problems
occupational therapy â€“ to improve the skills and abilities needed for daily activities at home
palliative care and advanced care planning
","CBD occurs when brain cells in certain parts of the brain are damaged as a result of a build-up of a protein called tau.
The surface of the brain (cortex) is affected as well as a deep part of the brain called the basal ganglia.
Tau occurs naturally in the brain and is usually broken down before it reaches high levels. In people with CBD it isn't broken down properly and forms harmful clumps in brain cells.
CBD has been linked to changes in certain genes but these genetic links are weak and the risk to other family members is very low.",Severe,Neurologist,Rare,No
101,Costochondritis,Costochondritis is inflammation where your ribs join the bone in the middle of your chest (breastbone). It can cause sharp chest pain especially when moving or breathing. It usually gets better on its own over time.,"Costochondritis usually gets better on its own over time. It can last for a few weeks to several months.
Painkillers that help with inflammation like ibuprofen may be recommended to help with the pain.
If you have very bad pain that does not get better over time you may be offered a steroid injection to help reduce inflammation or local anaesthetic to ease the pain.
","It is not always known what causes costochondritis but it may be caused by:
an injury to your chest
repetitive upper body movements like lifting
coughing a lot
Sometimes it may be caused by a problem with the joints in the back or another underlying condition like fibromyalgia or rheumatoid arthritis.
It can also be caused by an infection.",Mild,Rheumatologist or Orthopedic Surgeon,Common,No
102,Creutzfeldt-Jakob disease,Creutzfeldt-Jakob disease (CJD) is a rare and fatal condition that affects the brain. It causes brain damage that worsens rapidly over time.,"There's currently no cure for CJD so treatment aims to relieve symptoms and make the affected person feel as comfortable as possible.
This can include using medicine such as antidepressants to help with anxiety and depression and painkillers to relieve pain.
Some people will need nursing care and assistance with feeding.
Read more about treating Creutzfeldt-Jakob disease.
","CJD appears to be caused by an abnormal infectious protein called a prion. These prions accumulate at high levels in the brain and cause irreversible damage to nerve cells.
While the abnormal prions are technically infectious they're very different from viruses and bacteria.
For example prions aren't destroyed by the extremes of heat and radiation used to kill bacteria and viruses and antibiotics or antiviral medicines have no effect on them.
Read more about the causes of Creutzfeldt-Jakob disease.",Severe,Neurologist or Infectious Disease Specialist,Rare,No
103,Crohns disease,Crohn's disease is a lifelong condition where parts of the digestive system become inflamed.,"medicines to reduce inflammation in the digestive system â€“ usually steroid tablets
medicines to stop the inflammation coming back â€“ either tablets or injections
surgery to remove a small part of the digestive system â€“ sometimes this may be a better treatment option than medicines
","The exact cause of Crohn's disease is unknown.
It's thought several things could play a role including:
your genes â€“ you're more likely to get it if a close family member has it
a problem with the immune system (the body's defence against infection) that causes it to attack the digestive system
smoking
a previous stomach bug
an abnormal balance of gut bacteria
There's no evidence to suggest a particular diet causes Crohn's disease.",Severe,Gastroenterologist,Common,No
104,Croup,Croup is a common condition that mainly affects babies' and young children's airways. It's usually mild but it's important to call NHS 111 if you think your child has croup as they may need treatment.,,,Mild,Pediatrician or Ear Nose and Throat (ENT) Specialist,Common,Yes
105,Cushings syndrome,Cushing's syndrome is a condition caused by having too much of a hormone called cortisol in your body. It can be serious if it's not treated.,"your steroid dose will be gradually reduced or stopped
surgery to remove the tumour
radiotherapy to destroy the tumour
medicines to reduce the effect of cortisol on your body
","Cushing's syndrome is uncommon. It mostly affects people who have been taking steroid medicine especially steroid tablets for a long time. Steroids contain a synthetic version of cortisol.
Very rarely it can be caused by the body producing too much cortisol.
This is usually the result of:
a growth (tumour) in the pituitary gland in the brain
a tumour in 1 of the adrenal glands above the kidneys
The tumours are usually non-cancerous (benign). They're most common in young women.",Severe,Endocrinologist,Rare,No
106,Cyclical vomiting syndrome,Cyclical vomiting syndrome (CVS) is a rare disorder that usually starts in childhood. It causes repeated episodes of being sick (vomiting) and feeling sick (nausea).,,"The cause of CVS is not yet known but there may be a link with migraine. Many people with CVS develop migraines and migraine medicines may help treat the syndrome. 
Vomiting episodes may be triggered by:
emotional stress such as excitement anxiety or panic attacks
physical stress such as an infection exhaustion or lack of sleep
some foods and drinks such as chocolate cheese and things that contain caffeine alcohol or MSG (monosodium glutamate)
very hot or very cold weather
periods
allergies
motion sickness
overeating not eating for long periods (fasting) or eating just before going to bed
For some people there is no obvious trigger.",Moderate,Gastroenterologist or Neurologist,Rare,No
107,Cyclospora,Cyclospora is an infection that causes diarrhoea. It's not found in the UK but there's a risk of getting it while travelling in some parts of the world.,"Cyclospora usually gets better on its own within a few days or weeks. Make sure you have lots of fluids to avoid dehydration.
Sometimes you may be asked to provide a sample of poo (stool sample) so it can be checked for cyclospora.
If your symptoms are severe or do not go away you may need antibiotics.
","You can get cyclospora from drinking unclean water or eating food that has not been cooked thoroughly or washed with clean water.
Cyclospora is found in parts of:
Central and South America
south and southeast Asia
the Middle East
Africa
You cannot catch it from close contact with someone who has it.",Severe,Infectious Disease Specialist,Rare,Yes
108,Cystitis,Cystitis is a urinary tract infection (UTI) that affects the bladder. It's common particularly in women. It often gets better by itself but may sometimes be treated with antibiotics.,"offer self-care advice and recommend taking a painkiller
do a urine test although this is not always needed
give you a prescription for a 3-day course of antibiotics
give you a prescription for antibiotics but suggest you wait for 48 hours before taking them in case your symptoms go away on their own
a single-dose antibiotic to take within 2 hours of having sex if you've noticed sex triggers cystitis
a low-dose antibiotic to take for up to 6 months
a vaginal oestrogen cream if you have gone through the menopause
","Cystitis is usually caused by bacteria from poo getting into the tube that carries urine out of your body (urethra).
Women have a shorter urethra than men. This means bacteria are more likely to reach the bladder and cause an infection.
Things that increase the chance of bacteria getting into the bladder include:
having sex
wiping your bottom from back to front after going to the toilet
urinary catheters (a tube in your bladder used to drain urine)
using spermicide with contraception
conditions that block the urinary tract such as kidney stones
being pregnant
conditions that make it difficult to fully empty the bladder such as an enlarged prostate gland in men
having been through the menopause
having diabetes
having a weakened immune system",Mild,Urologist or General Practitioner,Common,No
109,Cytomegalovirus (CMV),Cytomegalovirus (CMV) is a common virus that's usually harmless. Sometimes it causes problems in babies and people with a weakened immune system.,"babies diagnosed with congenital CMV after they're born
people with a weakened immune system
people who have had a stem cell transplant or organ transplant
","Cytomegalovirus (CMV) is mainly spread through close contact with someone who already has it.
You can pass it on through contact with body fluids including saliva blood breast milk pee and poo and through sex.
CMV can only be passed on when it's active. The virus is active when:
you get CMV for the first time â€“ young children often get CMV for the first time at nursery
the virus has reactivated because you have a weakened immune system
you've been reinfected with a different type (strain) of CMV
Congenital CMV is caused by passing on an active CMV infection to your unborn baby during pregnancy.",Severe,Infectious Disease Specialist,Rare,Yes
110,Dehydration,Dehydration means your body loses more fluids than you take in. If it's not treated it can get worse and become a serious problem.,"You should drink fluids if you have symptoms of dehydration.
If you feel sick or have been sick you may find it hard to drink so start with small sips and then gradually drink more.
If you're being sick or have diarrhoea and are losing too much fluid you need to put back the sugar salts and minerals your body has lost.
A pharmacist can recommend oral rehydration solutions. These are powders that you mix with water and then drink.
Ask your pharmacist which rehydration solutions are right for you or your child.
","Dehydration can happen more easily if you:
have diabetes
have been sick or have diarrhoea
have been in the sun too long (heatstroke)
have drunk too much alcohol
sweat a lot after exercising
have a high temperature
take medicines that make you pee more (diuretics)",Moderate,General Practitioner or Emergency Medicine Specialist,Common,No
111,Dementia with Lewy bodies,Dementia with Lewy bodies (DLB) also known as Lewy body dementia is one of the most common types of dementia.,"medicines to reduce hallucinations confusion drowsiness movement problems and disturbed sleep
therapies such as physiotherapy occupational therapy and speech and language therapy for problems with movement everyday tasks and communication
psychological therapies such as cognitive stimulation (activities and exercises designed to improve memory problem solving skills and language ability)
activities for dementia such as memory cafes (drop-in sessions for people with memory problems and their carers to get support and advice)
","Dementia with Lewy bodies is caused by clumps of protein forming inside brain cells. These abnormal deposits are called Lewy bodies.
These deposits are also found in people with Parkinson's disease and they build up in areas of the brain responsible for functions such as thinking visual perception and muscle movement.
It's not clear why the deposits develop and how exactly they damage the brain. It's thought that part of the problem is the proteins affecting the brain's normal functions by interfering with signals sent between brain cells.
Dementia with Lewy bodies usually occurs in people with no family history of the condition although there have been very rare cases that seem to run in families.",Severe,Neurologist or Psychiatrist,Rare,No
112,Dengue,Dengue also known as dengue fever is an infection spread by mosquitoes. It's not usually serious and often gets better on its own. Some people get a more severe type of dengue but this is rare.,"resting
drinking plenty of fluids
taking paracetamol to help bring down your temperature and ease any pain
","You can get dengue if you're bitten by an infected mosquito. The mosquitoes that carry the dengue virus bite during the day.
Dengue is very common in certain parts of the world.
It's often found in tropical areas including:
parts of Africa and Asia
Central and South America
the Caribbean
the Pacific islands
some southern areas of North America
There's also a risk of getting dengue at certain times of the year (spring to November) in parts of southern Europe.
European countries where dengue has been found include:
Croatia
France
Italy
Spain
Portugal and Madeira
Dengue is not found in the UK and you cannot catch it from another person.",Severe,Infectious Disease Specialist,Rare,Yes
113,Dental abscess,A dental abscess is a build-up of pus in the teeth or gums caused by an infection. It needs urgent treatment by a dentist. A dental abscess will not go away on its own.,"Dental abscesses are usually treated by a dentist. The dentist will drain away the pus.
If a problem with your tooth has caused the abscess you may need root canal treatment or the tooth may be removed. You'll be given a local anaesthetic so you do not feel any pain.
You may be offered painkillers to take for a few days after treatment and may also be given antibiotics.
","Dental abscesses usually happen when pus builds up beneath your teeth or gums when you have an infection in your mouth.
You may get a dental abscess if:
you have a tooth that has not grown out of your gums properly (an impacted tooth)
you have tooth decay or gum disease
you have injured your teeth gums or mouth
you're having radiotherapy or chemotherapy",Mild,Dentist or Oral Surgeon,Common,No
114,Detached retina (retinal detachment),A detached retina is when the thin layer at the back of your eye (retina) becomes loose. It needs to be treated quickly to stop it permanently affecting your sight.,,"A detached retina is usually caused by changes to the jelly inside your eye which can happen as you get older. This is called posterior vitreous detachment (PVD).
It's not clear exactly why PVD can lead to retinal detachment in some people and there's nothing you can do to prevent it. But it's more likely to happen if you:
are short-sighted
have had an eye operation (such as cataract surgery)
have had an eye injury
have a family history of retinal detachment",Severe,Ophthalmologist,Rare,No
115,Diabetic ketoacidosis,Diabetic ketoacidosis (DKA) is a serious condition that can happen in people with diabetes. It's where a lack of insulin causes harmful substances called ketones to build up in the blood. It can be life threatening and needs urgent treatment in hospital.,"If you have diabetic ketoacidosis (DKA) you'll need to be admitted to hospital for urgent treatment.
You'll be given insulin fluids and nutrients through a drip into your vein.
You'll be monitored for complications as DKA can sometimes affect your brain heart or lungs.
Once your ketones are at a safe level and you can eat and drink normally you'll be able to go home.
The doctors will talk to you about what caused DKA and give you advice on how to reduce the risk of it happening again.
","If you have diabetes it's important to be aware of the symptoms of diabetic ketoacidosis (DKA) and how to reduce the risk of getting it.
Causes of DKA can include being unwell having an injury or surgery having your period or not taking enough insulin.
Testing for ketones will help you know when you need to take action such as increasing your insulin dose.
You can get kit to test for ketones free from the NHS or buy it from a pharmacy. You can use:
a ketone meter to test your blood
some types of blood glucose monitor that also test for ketones
strips to test your pee
Do
follow the treatment plan agreed with your diabetes care team including adjusting your insulin dose when you need to
check your blood glucose regularly
ask your care team about getting a continuous glucose monitor or flash monitor if you do not already have one
test for ketones when your blood glucose is high and when you're ill
follow the sick day rules you've been given by your care team when you're ill
contact your care team if you're not sure what to do
Donâ€™t
do not stop taking insulin even if you're not eating
do not skip insulin doses",Severe,Endocrinologist or Emergency Medicine Specialist,Rare,No
116,Diabetic retinopathy,Diabetic retinopathy is a complication of diabetes caused by high blood sugar levels damaging the back of the eye (retina). It can cause blindness if left undiagnosed and untreated.,"laser treatment
injections of medication into your eyes
an operation to remove blood or scar tissue from your eyes
","Anyone with type 1 diabetes or type 2 diabetes is potentially at risk of developing diabetic retinopathy.
You're at a greater risk if you:
have had diabetes for a long time
have a persistently high blood sugar (blood glucose) level
have high blood pressure
have high cholesterol
are pregnant
are of Asian or Afro-Caribbean background
By keeping your blood sugar blood pressure and cholesterol levels under control you can reduce your chances of developing diabetic retinopathy.",Severe,Ophthalmologist,Common,No
117,Diphtheria,Diphtheria is a highly contagious infection that affects the nose and throat and sometimes the skin. It's rare in the UK but there's a small risk of catching it if you travel to some parts of the world.,"antibiotics to kill the diphtheria bacteria
medicines that stop the effects of the harmful substances (toxins) produced by the bacteria
thoroughly cleaning any infected wounds if you have diphtheria affecting your skin
","Diphtheria is a highly contagious bacterial infection. It's spread by coughs and sneezes or through close contact with someone who is infected.
You can also get it by sharing items such as cups cutlery clothing or bedding with an infected person.",Severe,Infectious Disease Specialist,Rare,Yes
118,Discoid eczema,Discoid eczema also known as nummular or discoid dermatitis is a long-term (chronic) skin condition that causes skin to become itchy swollen and cracked in circular or oval patches.,"emollients â€“ moisturisers applied to the skin to stop it becoming dry
topical corticosteroids â€“ ointments and creams containing a steroid that are applied to the skin and may relieve severe symptoms
antihistamines â€“ medicines that can reduce itching
","The cause of discoid eczema is unknown although it may happen as a result of having particularly dry skin.
When your skin is very dry it cannot provide an effective barrier against substances that come into contact with it. This could allow a previously harmless substance such as soap to irritate your skin.
It's important to look carefully at all the chemicals in cosmetics and toiletries that may have come into contact with your skin. Contact dermatitis a type of eczema caused by coming into contact with a particular irritant may have a role in discoid eczema.
Some people with discoid eczema also have a history of atopic eczema which often happens in people who are prone to asthma and hay fever. However unlike atopic eczema discoid eczema does not seem to run in families.
Other possible triggers 
An outbreak of discoid eczema may sometimes be triggered by a minor skin injury such as an insect bite or a burn.
Some medicines have been linked to discoid eczema. You should not stop taking any prescribed medicine without talking to the doctor who prescribed it for you.
Dry environments and cold climates can make discoid eczema worse and sunny or damp (humid) environments may make your symptoms better.",Mild,Dermatologist,Common,No
119,Dissociative disorders,Dissociative disorders are a range of conditions that can cause physical and psychological problems.,"Many people with a dissociative disorder make a full recovery with treatment and support.
Talking therapies are often recommended for dissociative disorders.
The aim of talking therapies such as counselling or psychotherapy is to help you cope with the underlying cause of your symptoms and to learn and practise techniques to manage the periods of feeling disconnected.
Eye movement desensitisation and reprocessing (EMDR) is a psychological treatment that can help reduce the symptoms of post-traumatic stress disorder (PTSD). It is sometimes used to treat dissociative disorders.
There's no specific medicine to treat dissociation but medicines like antidepressants may be prescribed to treat associated conditions like depression anxiety and panic attacks.
","There are many possible causes of dissociative disorders including previous traumatic experience.
Someone with a dissociative disorder may have experienced physical sexual or emotional abuse during childhood.
Some people dissociate after experiencing war kidnapping or even an invasive medical procedure.
Switching off from reality is a normal defence mechanism that helps the person cope during a traumatic time.
It's a form of denial as if ""this is not happening to me"".
It becomes a problem when the environment is no longer traumatic but the person still acts and lives as if it is and has not dealt with or processed the event.",Moderate,Psychiatrist or Psychologist,Rare,No
120,Diverticular disease and diverticulitis,Diverticular disease and diverticulitis are conditions that affect the large intestine (bowel) causing tummy (abdominal) pain and other symptoms. They're caused by small bulges or pouches in the walls of the intestine called diverticula.,"painkillers such as paracetamol
bulk-forming laxatives for constipation and diarrhoea
medicines to help with stomach cramps (antispasmodics)
antibiotics if the diverticulitis is caused by an infection
painkillers such as paracetamol
",,Mild,Gastroenterologist,Common,No
121,Dizziness,It's common to sometimes feel dizzy lightheaded or off-balance and it's not usually serious. See a GP if you're worried.,"lie down until the dizziness passes then get up slowly
move slowly and carefully
get plenty of rest
drink plenty of fluids especially water
avoid coffee cigarettes alcohol and drugs
do not bend down suddenly
do not get up suddenly after sitting or lying down
do not do anything that could be dangerous while you're dizzy like driving climbing a ladder or using heavy machinery
","If you have other symptoms this might give you an idea of the cause. Do not self-diagnose. See a GP if you're worried.
Dizziness while you're ill with something else
Dizziness for no obvious reason",Mild,Neurologist or Ear Nose and Throat (ENT) Specialist,Common,No
122,Double vision,Double vision (diplopia) is not usually serious but it's important to get it checked even if it comes and goes.,"Your eyecare team or GP can advise you about the best treatment for double vision once they work out the cause.
In some cases this may be simple treatments such as eye exercises wearing an eye patch or being prescribed glasses or contact lenses.
Some conditions that cause double vision may require eye surgery to correct the problem.
","Double vision has many possible causes depending on whether 1 eye or both eyes are affected.
Information:
Try covering 1 eye at a time to see if your double vision goes away.
If you still have double vision in the eye that is not covered it's probably only affecting that eye.
Double vision affecting both eyes (binocular)
Double vision affecting both eyes is usually a symptom of a squint.
This is where problems with the eye muscles or nerves cause the eyes to look in slightly different directions.
Squints are more common in children but they do not always cause double vision. An untreated squint in children under 7 causes a lazy eye instead.
Squints in adults are sometimes a sign of a more serious condition.
Double vision affecting 1 eye (monocular)
Double vision affecting 1 eye is less common. It's usually caused by eye problems such as:
dry eyes â€“ where the eyes do not produce enough tears
astigmatism â€“ a common condition where part of the eye is not a perfect shape
cataracts â€“ cloudy patches over the front of the eyes
keratoconus â€“ where the clear outer layer of the eye (cornea) gets thinner and changes shape",Moderate,Ophthalmologist or Neurologist,Rare,No
123,Dry eyes,Many people get dry eyes. It's not usually serious and there are things you can do to help.,"clean your eyelids every day
take breaks to rest your eyes when using a computer screen
make sure your computer screen is just below eye level
use a humidifier to stop the air getting dry
if you wear contact lenses take them out and wear glasses to rest your eyes
do not smoke or drink too much alcohol
do not spend too long in smoky dry or dusty places
do not spend too long in air conditioned or heated rooms
do not stop taking a prescribed medicine without getting medical advice first â€“ even if you think it's causing your symptoms
what you can do to treat it yourself â€“ such as cleaning and protecting your eyes
if you can buy anything to help â€“ such as eye drops gels ointments or allergy medicines
if you need to see an optician or GP
","You can get dry eyes if you do not make enough tears or your tears dry up quickly.
You may be more likely to get dry eyes if:
you're over the age of 50
you wear contact lenses
you look at computer screens for a long time without a break
you spend time in air conditioned or heated environments
it's windy cold dry or dusty
you smoke or drink alcohol
you take certain medicines (for example some antidepressants or blood pressure medicines)
you have a condition such as blepharitis SjÃ¶gren's syndrome or lupus",Mild,Ophthalmologist or Optometrist,Common,No
124,DVT (deep vein thrombosis),DVT (deep vein thrombosis) is a blood clot in a vein usually in the leg. DVT can be dangerous. Get medical help as soon as possible if you think you have DVT.,"blood-thinning medicines such as warfarin or rivaroxaban â€“ you'll probably need to take these for at least 3 months
surgery to remove blood clots or stop them forming
","A DVT (deep vein thrombosis) is more likely to happen if you:
are over 60
are overweight
smoke
have had DVT before
take the contraceptive pill or HRT
have cancer or heart failure
have varicose veins
There are also some times when you have a higher chance of getting DVT.
These include if you:
are staying in or recently left hospital â€“ especially if you cannot move around much (like after an operation)
are confined to bed
go on a long journey (more than 3 hours) by plane car or train
are pregnant or if you've had a baby in the previous 6 weeks
are dehydrated
Sometimes DVT can happen for no obvious reason.",Severe,Vascular Surgeon or Hematologist,Common,No
125,Dysarthria (difficulty speaking),Dysarthria is where you have difficulty speaking because the muscles you use for speech are weak. It can be caused by conditions that damage your brain or nerves and some medicines. Speech and language therapy can help.,"exercises to strengthen the muscles used for speech
strategies to make your speech easier to understand such as slowing down when you're talking
using communication aids such as an alphabet board or a voice amplifier
","Dysarthria is usually caused by damage to the brain or conditions that affect the nervous system. It can happen at any age.
Common causes include:
stroke severe head injury and brain tumours
Parkinson's disease multiple sclerosis and motor neurone disease
cerebral palsy and Down's syndrome
It can also be a side effect of certain medicines such as some medicines to treat epilepsy.",Moderate,Speech-Language Pathologist or Neurologist,Common,No
